;20-01-11;20-01-12;20-01-13;20-01-14;20-01-15;20-01-16;20-01-17;20-01-18;20-01-19;20-01-20;20-01-21;20-01-22;20-01-23;20-01-24;20-01-25;20-01-26;20-01-27;20-01-28;20-01-29;20-01-30;20-01-31;20-02-01;20-02-02;20-02-03;20-02-04;20-02-05;20-02-06;20-02-07;20-02-08;20-02-09;20-02-10;20-02-11;20-02-12;20-02-13;20-02-14;20-02-15;20-02-16;20-02-17;20-02-18;20-02-19;20-02-20;20-02-21;20-02-22;20-02-23;20-02-24;20-02-25;20-02-26;20-02-27;20-02-28;20-02-29;20-03-01;20-03-02;20-03-03;20-03-04;20-03-05;20-03-06;20-03-07;20-03-08;20-03-09;20-03-10;20-03-11;country;region;population
Norway;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;2;9;4;6;8;23;30;29;34;22.0;23.0;85.0;;Norway;Northern Europe;5378857
Denmark;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;6;5;5;3;6;8.0;55.0;172.0;252.0;Denmark;Northern Europe;5771876
Sweden;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;4;2;1;1;15;22;42;43;41;55.0;25.0;98.0;;Sweden;Northern Europe;10036379
Finland;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;1;1;0;5;3;4;4;7.0;10.0;19.0;;Finland;Northern Europe;5532156
Estonia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;2;5;0;0.0;0.0;0.0;;Estonia;Northern Europe;1325648
Latvia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0.0;0.0;0.0;;Latvia;Northern Europe;1906743
Lithuania;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;;Lithuania;Northern Europe;2759627
Poland;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;1;0.0;0.0;0.0;;Poland;Eastern Europe;37887768
Czech Republic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;1;3;4;7;7;6.0;6.0;25.0;;Czech Republic;Eastern Europe;10689209
Hungary;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0.0;0.0;0.0;;Hungary;Eastern Europe;9684679
Romania;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;1;2;0;3;4;4.0;0.0;0.0;;Romania;Eastern Europe;19364557
Belarus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;;Belarus;Eastern Europe;9452411
Ukraine;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.0;0.0;0.0;;Ukraine;Eastern Europe;43993638
Russia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;6;4;3.0;3.0;0.0;;Russia;Eastern Europe;145872256
Canada;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;1;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;1;2;2;4;4;3;2;2;2;13;6;7.0;10.0;16.0;;Canada;Northern America;37411047
United States;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;2;0;0;0;1;1;1;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;4;5;18;15;28;26;69;77;100;143.0;145.0;267.0;;United States;Northern America;329064917
Mexico;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;2;0;0;0;0;0;0.0;0.0;0.0;;Mexico;Central America;127575529
Dominican Republic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0.0;0.0;0.0;;Dominican Republic;Caribbean;10738958
Saint Barthélemy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0.0;0.0;0.0;;Saint Barthélemy;Caribbean;9793
Argentina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0.0;0.0;0.0;;Argentina;South America;44780677
Chile;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.0;0.0;0.0;;Chile;South America;18952038
Ecuador;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;1;0;0;0;0;0;0.0;0.0;0.0;;Ecuador;South America;17373662
Brazil;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;5;5;6;6.0;0.0;9.0;18.0;Brazil;South America;211049527
International conveyancea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;41;3;6;65;0;39;44;0;67;70;99;88;79;13;0;0;57;0;0;14;0;0;0;0;1;0;0;0;0;0;0.0;0.0;0.0;;International conveyancea;Other;3711
China;41;0;0;0;0;4;17;59;78;92;149;131;259;457;688;769;1771;1459;1736;1979;2101;2586;2827;3234;3887;3694;3129;3395;2567;3051;2478;2015;15929;7085;4143;3130;2048;1886;1749;673;889;397;648;409;508;406;433;327;427;573;202;125;119;134;143;99;44;;;;;China;Eastern Asia;1433783686
China without Hubei;0;0;0;0;0;0;0;0;1;20;44;62;154;264;365;398;480;619;704;759;754;665;724;889;731;707;682;554;507;431;381;377;312;266;220;166;115;79;56;45;258;31;18;11;9;5;24;9;7;3;6;11;4;5;17;25;3;;;;;China without Hubei;Eastern Asia;1375283686
Wuhan;41;0;0;0;0;4;17;59;77;60;105;62;70;77;46;80;892;315;356;378;576;894;1033;1242;1967;1766;1501;1985;1378;1921;1552;1104;12523;3910;1923;1548;1690;1600;1660;615;319;314;541;348;464;370;383;313;420;565;193;111;114;134;126;74;41;;;;;Wuhan;Eastern Asia;11081000
Hubei without Wuhan;0;0;0;0;0;0;0;0;0;12;0;7;35;103;277;291;399;525;676;842;771;1027;1070;1103;1189;1221;946;856;682;697;545;534;1274;913;497;295;243;207;33;160;312;52;89;50;35;31;26;5;3;5;3;3;1;3;0;0;0;;;;;Hubei without Wuhan;Eastern Asia;47419000
